label,lat,lng,url,map,x,y
萩保守作業所,34.3959841667,131.4001935028,,,,
萩備蓄倉庫,34.3962869972,131.4002691667,,,,
協和建設工業,34.3949325028,131.4014613333,,,,
102k000,34.39336,131.37271,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k020,34.39352,131.37283,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k040,34.39367,131.37295,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k060,34.39381,131.37307,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k080,34.39396,131.3732,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k100,34.3941,131.37333,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,807,534
102k120,34.39424,131.37347,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k140,34.39438,131.37361,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k160,34.39452,131.37375,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k180,34.39466,131.37389,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k200,34.39479,131.37402,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,1521,479
102k220,34.39492,131.37417,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k240,34.39503,131.37434,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k260,34.3951,131.37454,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k270,34.39513,131.37464,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k300,34.39525,131.37504,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,2259,703
102k320,34.39531,131.37524,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k340,34.39538,131.37544,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k360,34.39546,131.37563,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k380,34.39556,131.37581,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k400,34.39562,131.3759,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,2828,897
102k420,34.39574,131.37607,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k440,34.39585,131.37624,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k460,34.39596,131.37641,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k480,34.39608,131.37658,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k500,34.3962,131.37675,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,3603,990
102k520,34.39631,131.37692,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k540,34.39642,131.37709,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k560,34.39654,131.37726,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k580,34.39665,131.37743,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k600,34.39676,131.3776,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,4321,1071
102k620,34.39689,131.37779,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k640,34.39701,131.37796,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k660,34.39712,131.37813,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k680,34.39724,131.37829,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k700,34.39736,131.37842,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,5046,1127
102k720,34.39752,131.37853,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k740,34.39768,131.37863,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k760,34.39784,131.37873,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k780,34.398,131.37883,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
102k800,34.39824,131.37897,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,5810,895
102k820,34.39841,131.37906,https://drive.google.com/file/d/1IDVLjuH-TI2PNGpZE3S9pzr0Udlk2eNz/view?usp=drive_link,map_01.webp,,
